"Date","TBILL"
"1885-03-20",10000
"1885-03-23",10000.99
"1885-03-24",10001.97
"1885-03-25",10002.96
"1885-03-26",10003.94
"1885-03-27",10004.93
"1885-03-30",10005.92
"1885-03-31",10006.9
"1885-04-01",10007.89
"1885-04-02",10008.87
"1885-04-06",10009.85
"1885-04-07",10010.84
"1885-04-08",10011.82
"1885-04-09",10012.81
"1885-04-10",10013.79
"1885-04-13",10014.78
"1885-04-14",10015.76
"1885-04-15",10016.74
"1885-04-16",10017.73
"1885-04-17",10018.71
"1885-04-20",10019.69
"1885-04-21",10020.68
"1885-04-22",10021.66
"1885-04-23",10022.64
"1885-04-24",10023.63
"1885-04-27",10024.61
"1885-04-28",10025.59
"1885-04-29",10026.58
"1885-04-30",10027.56
"1885-05-01",10028.54
"1885-05-04",10029.52
"1885-05-05",10030.51
"1885-05-06",10031.49
"1885-05-07",10032.47
"1885-05-08",10033.45
"1885-05-11",10034.44
"1885-05-12",10035.42
"1885-05-13",10036.4
"1885-05-14",10037.38
"1885-05-15",10038.37
"1885-05-18",10039.35
"1885-05-19",10040.33
"1885-05-20",10041.31
"1885-05-21",10042.29
"1885-05-22",10043.27
"1885-05-25",10044.25
"1885-05-26",10045.24
"1885-05-27",10046.22
"1885-05-28",10047.2
"1885-05-29",10048.18
"1885-06-01",10049.16
"1885-06-02",10050.14
"1885-06-03",10051.12
"1885-06-04",10052.1
"1885-06-05",10053.08
"1885-06-08",10054.06
"1885-06-09",10055.04
"1885-06-10",10056.03
"1885-06-11",10057.01
"1885-06-12",10057.99
"1885-06-15",10058.97
"1885-06-16",10059.95
"1885-06-17",10060.93
"1885-06-18",10061.91
"1885-06-19",10062.89
"1885-06-22",10063.86
"1885-06-23",10064.84
"1885-06-24",10065.82
"1885-06-25",10066.8
"1885-06-26",10067.78
"1885-06-29",10068.76
"1885-06-30",10069.74
"1885-07-01",10070.72
"1885-07-02",10071.7
"1885-07-03",10072.68
"1885-07-06",10073.66
"1885-07-07",10074.63
"1885-07-08",10075.61
"1885-07-09",10076.59
"1885-07-10",10077.57
"1885-07-13",10078.54
"1885-07-14",10079.52
"1885-07-15",10080.5
"1885-07-16",10081.47
"1885-07-17",10082.45
"1885-07-20",10083.42
"1885-07-21",10084.4
"1885-07-22",10085.37
"1885-07-23",10086.35
"1885-07-24",10087.32
"1885-07-27",10088.3
"1885-07-28",10089.27
"1885-07-29",10090.24
"1885-07-30",10091.22
"1885-07-31",10092.19
"1885-08-03",10093.16
"1885-08-04",10094.14
"1885-08-05",10095.11
"1885-08-06",10096.08
"1885-08-07",10097.05
"1885-08-10",10098.03
"1885-08-11",10099
"1885-08-12",10099.97
"1885-08-13",10100.94
"1885-08-14",10101.92
"1885-08-17",10102.89
"1885-08-18",10103.86
"1885-08-19",10104.83
"1885-08-20",10105.8
"1885-08-21",10106.78
"1885-08-24",10107.75
