"Date","GOLDX"
"1978-12-29",10000
"1979-01-02",10035.4
"1979-01-03",9672.57
"1979-01-04",9876.11
"1979-01-05",9977.88
"1979-01-08",9871.68
"1979-01-09",9911.5
"1979-01-10",9765.49
"1979-01-11",9765.49
"1979-01-12",9628.32
"1979-01-15",9597.35
"1979-01-16",9765.49
"1979-01-17",10057.52
"1979-01-18",10256.64
"1979-01-19",10203.54
"1979-01-22",10398.23
"1979-01-23",10176.99
"1979-01-24",10446.9
"1979-01-25",10349.56
"1979-01-26",10420.35
"1979-01-29",10407.08
"1979-01-30",10331.86
"1979-01-31",10340.71
"1979-02-01",10150.44
"1979-02-02",10190.27
"1979-02-05",10756.64
"1979-02-06",10818.58
"1979-02-07",11132.74
"1979-02-08",11084.07
"1979-02-09",10920.35
"1979-02-12",10809.73
"1979-02-13",10646.02
"1979-02-14",10650.44
"1979-02-15",10964.6
"1979-02-16",10933.63
"1979-02-20",10929.2
"1979-02-21",11097.35
"1979-02-22",11168.14
"1979-02-23",11106.19
"1979-02-26",11000
"1979-02-27",10969.03
"1979-02-28",11119.47
"1979-03-01",11008.85
"1979-03-02",10973.45
"1979-03-05",10539.82
"1979-03-06",10610.62
"1979-03-07",10721.24
"1979-03-08",10584.07
"1979-03-09",10663.72
"1979-03-12",10619.47
"1979-03-13",10579.65
"1979-03-14",10597.35
"1979-03-15",10623.89
"1979-03-16",10796.46
"1979-03-19",10721.24
"1979-03-20",10712.39
"1979-03-21",10615.04
"1979-03-22",10747.79
"1979-03-23",10730.09
"1979-03-26",10853.98
"1979-03-27",10814.16
"1979-03-28",10814.16
"1979-03-29",10685.84
"1979-03-30",10623.89
"1979-04-02",10606.19
"1979-04-03",10619.47
"1979-04-04",10610.62
"1979-04-05",10650.44
"1979-04-06",10610.62
"1979-04-09",10628.32
"1979-04-10",10610.62
"1979-04-11",10548.67
"1979-04-12",10353.98
"1979-04-16",10353.98
"1979-04-17",10261.06
"1979-04-18",10318.58
"1979-04-19",10659.29
"1979-04-20",10460.18
"1979-04-23",10482.3
"1979-04-24",10606.19
"1979-04-25",10699.12
"1979-04-26",10716.81
"1979-04-27",10783.19
"1979-04-30",10853.98
"1979-05-01",10942.48
"1979-05-02",10898.23
"1979-05-03",10907.08
"1979-05-04",10995.58
"1979-05-07",10995.58
"1979-05-08",11017.7
"1979-05-09",10973.45
"1979-05-10",11163.72
"1979-05-11",11128.32
"1979-05-14",11106.19
"1979-05-15",11305.31
"1979-05-16",11349.56
"1979-05-17",11362.83
"1979-05-18",11345.13
"1979-05-21",11592.92
"1979-05-22",11743.36
"1979-05-23",11690.27
"1979-05-24",11672.57
"1979-05-25",11973.45
"1979-05-29",12115.04
"1979-05-30",11960.18
"1979-05-31",12150.44
"1979-06-01",12172.57
"1979-06-04",12075.22
"1979-06-05",12159.29
"1979-06-06",12389.38
"1979-06-07",12216.81
"1979-06-08",12389.38
"1979-06-11",12495.58
"1979-06-12",12292.04
"1979-06-13",12238.94
"1979-06-14",12345.13
"1979-06-15",12389.38
"1979-06-18",12300.88
"1979-06-19",12402.65
"1979-06-20",12451.33
"1979-06-21",12491.15
"1979-06-22",12544.25
"1979-06-25",12561.95
"1979-06-26",12455.75
"1979-06-27",12469.03
"1979-06-28",12207.96
"1979-06-29",12278.76
"1979-07-02",12500
"1979-07-03",12451.33
"1979-07-05",12756.64
"1979-07-06",12845.13
"1979-07-09",12738.94
"1979-07-10",12853.98
"1979-07-11",12845.13
"1979-07-12",12867.26
"1979-07-13",12721.24
"1979-07-16",12955.75
"1979-07-17",13110.62
"1979-07-18",13371.68
"1979-07-19",13238.94
"1979-07-20",13221.24
"1979-07-23",13491.15
"1979-07-24",13508.85
"1979-07-25",13424.78
"1979-07-26",13504.42
"1979-07-27",13530.97
"1979-07-30",13336.28
"1979-07-31",13119.47
"1979-08-01",12836.28
"1979-08-02",12898.23
"1979-08-03",12676.99
