"Date","KMLMX"
"1992-01-02",10000
"1992-01-03",9970.04
"1992-01-06",10095.27
"1992-01-07",10128.17
"1992-01-08",10167.99
"1992-01-09",9942.47
"1992-01-10",9782.42
"1992-01-13",9722.58
"1992-01-14",9683.71
"1992-01-15",9530.17
"1992-01-16",9512.93
"1992-01-17",9711.47
"1992-01-20",9745.36
"1992-01-21",9768.98
"1992-01-22",9767.84
"1992-01-23",9733.75
"1992-01-24",9681.27
"1992-01-27",9578.31
"1992-01-28",9620.79
"1992-01-29",9627.41
"1992-01-30",9586.91
"1992-01-31",9555.2
"1992-02-03",9565.64
"1992-02-04",9565.42
"1992-02-05",9618.01
"1992-02-06",9660.99
"1992-02-07",9704.05
"1992-02-10",9615.04
"1992-02-11",9561.82
"1992-02-12",9489.51
"1992-02-13",9395.57
"1992-02-14",9416.67
"1992-02-18",9399.2
"1992-02-19",9369.84
"1992-02-20",9371.6
"1992-02-21",9325.55
"1992-02-24",9301.06
"1992-02-25",9308.23
"1992-02-26",9408.94
"1992-02-27",9413.26
"1992-02-28",9406.12
"1992-03-02",9399.8
"1992-03-03",9281.25
"1992-03-04",9197.69
"1992-03-05",9165.19
"1992-03-06",9192.98
"1992-03-09",9225.48
"1992-03-10",9168.56
"1992-03-11",9130.02
"1992-03-12",9034.36
"1992-03-13",8933.94
"1992-03-16",8938.9
"1992-03-17",9045.21
"1992-03-18",9024.64
"1992-03-19",9000.33
"1992-03-20",9026.32
"1992-03-23",9012.93
"1992-03-24",9037.76
"1992-03-25",9000.84
"1992-03-26",8992.16
"1992-03-27",9004.71
"1992-03-30",9020.26
"1992-03-31",8978.16
"1992-04-01",8886.98
"1992-04-02",8913.09
"1992-04-03",8915.5
"1992-04-06",8932.78
"1992-04-07",8994.96
"1992-04-08",8973.21
"1992-04-09",9037.59
"1992-04-10",9060.27
"1992-04-13",9078.37
"1992-04-14",9104.55
"1992-04-15",9062.85
"1992-04-16",8988.14
"1992-04-20",8902.86
"1992-04-21",8882.67
"1992-04-22",8940.78
"1992-04-23",8967.46
"1992-04-24",9015.69
"1992-04-27",9013.81
"1992-04-28",8989.75
"1992-04-29",8937.48
"1992-04-30",8912.68
"1992-05-01",8954.66
"1992-05-04",8943.6
"1992-05-05",8939.49
"1992-05-06",8992.66
"1992-05-07",9018.55
"1992-05-08",9040.96
"1992-05-11",9051.95
"1992-05-12",9056.01
"1992-05-13",9052.17
"1992-05-14",8999.98
"1992-05-15",9036.14
"1992-05-18",9031.9
"1992-05-19",9073.57
"1992-05-20",9057.15
"1992-05-21",9020.16
"1992-05-22",9057.18
"1992-05-26",9063.49
"1992-05-27",9022.98
"1992-05-28",9090.75
"1992-05-29",9180.48
"1992-06-01",9166.63
"1992-06-02",9148.91
"1992-06-03",9147.6
"1992-06-04",9205.74
"1992-06-05",9259.21
"1992-06-08",9229.21
"1992-06-09",9212.8
"1992-06-10",9211.21
"1992-06-11",9274.34
"1992-06-12",9270.25
"1992-06-15",9300.7
"1992-06-16",9365.81
"1992-06-17",9384.4
"1992-06-18",9390.43
"1992-06-19",9361.01
"1992-06-22",9370.7
"1992-06-23",9345.83
"1992-06-24",9451.11
"1992-06-25",9520.01
"1992-06-26",9545.56
"1992-06-29",9591.94
"1992-06-30",9531.33
"1992-07-01",9531.11
"1992-07-02",9714.76
"1992-07-06",9713.04
"1992-07-07",9777.8
"1992-07-08",9791.53
"1992-07-09",9678.52
"1992-07-10",9742.16
"1992-07-13",9807.72
"1992-07-14",9831.35
"1992-07-15",9874.63
"1992-07-16",9951.23
"1992-07-17",9976.28
"1992-07-20",9873.98
"1992-07-21",9895.16
"1992-07-22",9934.65
"1992-07-23",10006.78
"1992-07-24",9955.43
"1992-07-27",10085.71
"1992-07-28",10134.13
"1992-07-29",10074
"1992-07-30",10064.71
"1992-07-31",10069.03
"1992-08-03",10058.35
"1992-08-04",10058.48
"1992-08-05",10067.46
"1992-08-06",10104.33
"1992-08-07",10216.83
"1992-08-10",10235.07
"1992-08-11",10236.42
"1992-08-12",10293.47
"1992-08-13",10241.77
"1992-08-14",10220.97
"1992-08-17",10201.95
"1992-08-18",10294.03
"1992-08-19",10306.52
"1992-08-20",10308.25
"1992-08-21",10308.02
"1992-08-24",10353.98
"1992-08-25",10338.44
"1992-08-26",10301.08
"1992-08-27",10355.41
"1992-08-28",10391.9
"1992-08-31",10388.65
"1992-09-01",10424.54
"1992-09-02",10441.88
"1992-09-03",10353.58
"1992-09-04",10484.03
"1992-09-08",10546.67
"1992-09-09",10484.67
"1992-09-10",10467.86
"1992-09-11",10350.03
"1992-09-14",10276.99
"1992-09-15",10205.27
"1992-09-16",10094.72
"1992-09-17",10125.75
"1992-09-18",10076.04
"1992-09-21",10081.27
"1992-09-22",10120.22
"1992-09-23",10157.88
"1992-09-24",10141.54
"1992-09-25",10159.8
"1992-09-28",10248.93
"1992-09-29",10367.05
"1992-09-30",10359.79
"1992-10-01",10405.78
"1992-10-02",10457.91
"1992-10-05",10343.19
"1992-10-06",10311.39
"1992-10-07",10216.54
"1992-10-08",10135.42
"1992-10-09",10178.45
"1992-10-12",10154.21
"1992-10-13",10122.77
"1992-10-14",10150.76
"1992-10-15",10262.73
"1992-10-16",10258.53
"1992-10-19",10213.79
"1992-10-20",10070.36
"1992-10-21",10042.04
"1992-10-22",10041.18
"1992-10-23",10012.54
"1992-10-26",10062.71
