"Date","KMLMX"
"1992-01-02",100000000000000
"1992-01-03",99700391462696.22
"1992-01-06",100952654389664.72
"1992-01-07",101281715386575.69
"1992-01-08",101679915138836.06
"1992-01-09",99424723643358.66
"1992-01-10",97824200123362.23
"1992-01-13",97225751408074.98
"1992-01-14",96837109422211.02
"1992-01-15",95301744576270.7
"1992-01-16",95129317468199.19
"1992-01-17",97114678454366.48
"1992-01-20",97453595578389.48
"1992-01-21",97689844549968.9
"1992-01-22",97678364120349.5
"1992-01-23",97337493178970.55
"1992-01-24",96812723352648.88
"1992-01-27",95783081907436.19
"1992-01-28",96207888786931.22
"1992-01-29",96274118610348.19
"1992-01-30",95869089889756.16
"1992-01-31",95551964064500.4
"1992-02-03",95656364873144.95
"1992-02-04",95654226425447.6
"1992-02-05",96180144196485.56
"1992-02-06",96609890010326.06
"1992-02-07",97040511633429.42
"1992-02-10",96150360569326.5
"1992-02-11",95618238341256.55
"1992-02-12",94895138072442.66
"1992-02-13",93955721312906.14
"1992-02-14",94166678076590.9
"1992-02-18",93991995024772.66
"1992-02-19",93698369742727.95
"1992-02-20",93715966086877.19
"1992-02-21",93255515567085.77
"1992-02-24",93010631241474.45
"1992-02-25",93082316135269.1
"1992-02-26",94089404676422.55
"1992-02-27",94132566701246.38
"1992-02-28",94061195787530.23
"1992-03-02",93997983263145.23
"1992-03-03",92812456320005.92
"1992-03-04",91976912130519.48
"1992-03-05",91651900939876.7
"1992-03-06",91929849579217.42
"1992-03-09",92254828903634.23
"1992-03-10",91685565511770.28
"1992-03-11",91300172532010.81
"1992-03-12",90343587440959.19
"1992-03-13",89339401277067.56
"1992-03-16",89389001874753.39
"1992-03-17",90452056182373.81
"1992-03-18",90246427257627.64
"1992-03-19",90003291468390.22
"1992-03-20",90263213597541.48
"1992-03-23",90129271206349.88
"1992-03-24",90377637903683.31
"1992-03-25",90008420354727.27
"1992-03-26",89921607633199.7
"1992-03-27",90047141512166.33
"1992-03-30",90202581768164.22
"1992-03-31",89781595624742.53
"1992-04-01",88869799140639.1
"1992-04-02",89130907218998.95
"1992-04-03",89155007758178.33
"1992-04-06",89327814103955.95
"1992-04-07",89949604498770.16
"1992-04-08",89732069492744.22
"1992-04-09",90375942329128.34
"1992-04-10",90602686020614.95
"1992-04-13",90783708575065.72
"1992-04-14",91045525599967.95
"1992-04-15",90628462566117.27
"1992-04-16",89881386343638.38
"1992-04-20",89028646394835.66
"1992-04-21",88826734770784.8
"1992-04-22",89407764579367.89
