"Date","ZROZX"
"1962-01-02",100000000000000
"1962-01-03",100015555555555.56
"1962-01-04",100300540656293.16
"1962-01-05",100046634450691.44
"1962-01-08",99793436493338.1
"1962-01-09",99808999517362.66
"1962-01-10",99556468302202.69
"1962-01-11",99840172679317.12
"1962-01-12",99587562591545.4
"1962-01-15",99335656829836.77
"1962-01-16",99084453277458.27
"1962-01-17",99366839854373.42
"1962-01-18",99382415212207.73
"1962-01-19",99397993011417.58
"1962-01-22",99681259471392.69
"1962-01-23",99429116704346.45
"1962-01-24",99444701823829.88
"1962-01-25",98926898636454.81
"1962-01-26",98942483548660.64
"1962-01-29",98692403769915.06
"1962-01-30",98707990903526.34
"1962-01-31",98723580498915.08
"1962-02-01",98739172556470.06
"1962-02-02",98754767076580.19
"1962-02-05",99036241283388.3
"1962-02-06",98785924529455.56
"1962-02-07",98801526433409.02
"1962-02-08",99083133915331.48
"1962-02-09",99365530385845.5
"1962-02-12",99381144969191.86
"1962-02-13",99664377105107
"1962-02-14",99948402711991.69
"1962-02-15",99695584208741.48
"1962-02-16",99176474690348.45
"1962-02-19",99459137191057.31
"1962-02-20",98410895634051.4
"1962-02-21",98957056144431.2
"1962-02-23",99239106922442.98
"1962-02-26",99521947931042.98
"1962-02-27",99270338412271.42
"1962-02-28",99821305128395.88
"1962-03-01",100105777952012.81
"1962-03-02",100121429410946.58
"1962-03-05",99868173238360.36
"1962-03-06",99883827178213.19
"1962-03-07",100168478178463.12
"1962-03-08",100453926589729.19
"1962-03-09",100740174610885.66
"1962-03-12",101027224446787.02
"1962-03-13",101588016678831
"1962-03-14",101603698321088.19
"1962-03-15",101074097985380.36
"1962-03-16",101362085402255.31
"1962-03-19",101650879435661.4
"1962-03-20",102215158586711.9
"1962-03-21",102506341005246.9
"1962-03-22",103631866975756.05
"1962-03-23",103091033658632.45
"1962-03-26",102553210855377.66
"1962-03-27",102845342209610.95
"1962-03-28",102861054692448.56
"1962-03-29",103154048847607.12
"1962-03-30",103447863427865.69
"1962-04-02",103742500694710.16
"1962-04-03",104318480629207.62
"1962-04-04",105464311284874.6
"1962-04-05",104631166680312.06
"1962-04-06",105212119510620.84
"1962-04-09",105227859577706.36
"1962-04-10",105243601999555.88
"1962-04-11",104693877332340.23
"1962-04-12",104992006077195.31
"1962-04-13",105290969406906
"1962-04-16",105306721270186.31
"1962-04-17",105322475489995.38
"1962-04-18",105907292965669.7
"1962-04-19",105638083481075.9
"1962-04-23",105086201898376.6
"1962-04-24",104819286195328.66
"1962-04-25",104835050683212.8
"1962-04-26",104850817542025.88
"1962-04-27",105717379353781.81
"1962-04-30",105733153058002.88
"1962-05-01",105748929115760.73
"1962-05-02",105764707527406.58
"1962-05-03",106065842171340.52
"1962-05-04",106081625778806.5
"1962-05-07",106097411735023.6
"1962-05-08",106113200040341.31
"1962-05-09",106415312405563.6
"1962-05-10",106718270360624.45
"1962-05-11",106734066358578.62
"1962-05-14",106462615335506.4
"1962-05-15",106191924470968.19
"1962-05-16",105921991471508.72
"1962-05-17",105937795705156.84
"1962-05-18",105100910678973.95
"1962-05-21",104552123125099.06
"1962-05-22",104849876849732.66
"1962-05-23",104865687545448.1
"1962-05-24",105164319902622.81
"1962-05-25",105463788290794.05
"1962-05-28",105764095014032.9
"1962-05-29",105211651627163.66
"1962-05-31",105227475125563.14
"1962-06-01",105527123356031
"1962-06-04",105542952424534.42
"1962-06-05",105274876589274.95
"1962-06-06",105574659801264.6
"1962-06-07",105590496000234.8
"1962-06-08",105891163521977.56
"1962-06-11",105907005176202.86
"1962-06-12",106208559460058.69
"1962-06-13",105938653790138.8
"1962-06-14",105385298620859.22
"1962-06-15",105401148235215.3
"1962-06-18",105133501647885.9
"1962-06-19",104584639826404.1
"1962-06-20",104600493529742.86
"1962-06-21",104898399344002.42
"1962-06-22",104914258982950.88
"1962-06-25",103806288683602.45
"1962-06-26",103543099984235.69
"1962-06-27",103838051120017.92
"1962-06-28",103574781890709.88
"1962-06-29",103312247986605.45
