"Date","DBMFX"
"2000-01-03",100000000000000
"2000-01-04",99033336020773.31
"2000-01-05",98758874712244.6
"2000-01-06",98584721300339.05
"2000-01-07",98049281408047.77
"2000-01-10",98336702312673.4
"2000-01-11",99718128595934.77
"2000-01-12",100005695262960.23
"2000-01-13",99851639910115.5
"2000-01-14",100821861079548.27
"2000-01-18",102063261765412.62
"2000-01-19",101748675112809.72
"2000-01-20",101715175919931.02
"2000-01-21",101531057131159.05
"2000-01-24",101618038145759.77
"2000-01-25",101604607106902.5
"2000-01-26",101129197800667.05
"2000-01-27",101909178003676.19
"2000-01-28",102618949629043.16
"2000-01-31",102806477369586.55
"2000-02-01",102491750149654.69
"2000-02-02",101966010148775.27
"2000-02-03",100606307799216.88
"2000-02-04",101406653063273.08
"2000-02-07",102307584512966.78
"2000-02-08",101590764307745.77
"2000-02-09",101798406813642.38
"2000-02-10",102508585708762.69
"2000-02-11",102344433186186.84
"2000-02-14",102682834004852.58
"2000-02-15",102398044589993.06
"2000-02-16",102424854867805.73
"2000-02-17",102803540019392.56
"2000-02-18",103101841145913.78
"2000-02-22",101731085304555.6
"2000-02-23",102109798275617.64
"2000-02-24",102025978995399.58
"2000-02-25",101992432169166.31
"2000-02-28",101476123707975.69
"2000-02-29",102146602269260.6
"2000-03-01",101248002974927.1
"2000-03-02",101807900084274.5
"2000-03-03",101905106700336.98
"2000-03-06",102153236513426.22
"2000-03-07",102481889421204.88
"2000-03-08",101351588891544.77
"2000-03-09",100734337148938.02
"2000-03-10",100680552627517.4
"2000-03-13",100103431086806.77
"2000-03-14",99858368166930.42
"2000-03-15",99995756102846.19
"2000-03-16",100133161590721.52
"2000-03-17",100743718099130.52
"2000-03-20",100196611556461.12
"2000-03-21",100857591236100.1
"2000-03-22",100964881431269.6
"2000-03-23",100468027175560.36
"2000-03-24",99689148275799.19
"2000-03-27",99594969259738.9
"2000-03-28",99651846800043
"2000-03-29",99839666675134.42
"2000-03-30",99221702249167.28
"2000-03-31",100376551604324.86
"2000-04-03",99688023310421.98
"2000-04-04",99150522886581.81
"2000-04-05",98905133666512.08
"2000-04-06",98760470946192.22
"2000-04-07",99321148802603.84
"2000-04-10",99025335164611.69
"2000-04-11",98356600417974.78
"2000-04-12",98111076604146.5
"2000-04-13",98228371906193.31
"2000-04-14",98940394704174.77
"2000-04-17",99138403000277.64
"2000-04-18",98600510052092.3
"2000-04-19",98727948258792.31
